Image,Caption,Rights
urn:cite:bnf:gr2706img.bnf2706_img59,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 25 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img60,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 25 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img61,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 26 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img62,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 26 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img63,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 27 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img64,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 27 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img65,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 28 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img66,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 28 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img67,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 29 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img68,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 29 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img69,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 30 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img70,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 30 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img71,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 31 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img72,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 31 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img73,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 32 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img74,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 32 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
