Image,Caption,Rights
urn:cite:bnf:gr2705img.bnf2705_img001r,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, 1 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2705img.bnf2705_img001v,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, 1 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2705img.bnf2705_img002r,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, 2 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2705img.bnf2705_img002v,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, 2 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2705img.bnf2705_img003r,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, 3 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2705img.bnf2705_img003v,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, 3 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2705img.bnf2705_img004r,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, 4 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2705img.bnf2705_img004v,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, 4 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2705img.bnf2705_img005r,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, 5 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2705img.bnf2705_img005v,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, 5 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
