Image,Caption,Rights
urn:cite:bnf:gr2706img.bnf2706_img0009,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 1 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0010,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 1 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0011,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 1 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0011,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 1 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0012,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 2 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0012,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 2 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0013,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 3 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0013,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 3 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0014,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 4 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0014,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 4 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0015,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 5 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0015,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 5 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0016,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 6 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0016,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 6 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0017,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 7 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0017,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 7 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0018,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 8 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0018,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 8 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0019,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 9 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img0019,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 9 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img020,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 10 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img020,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 10 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img021,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 11 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img021,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 11 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img022,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 12 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img022,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 12 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img023,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 13 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img023,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 13 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img024,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 14 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img024,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 14 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img025,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 15 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img025,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 15 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img026,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 16 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img026,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 16 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img027,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 17 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img027,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 17 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img028,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 18 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img028,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 18 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img029,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 19 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img029,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 19 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img030,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 20 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img030,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 20 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img031,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 21 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img031,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 21 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img032,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 22 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img032,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 22 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img033,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 23 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img033,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 23 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img034,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 24 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img034,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 24 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img035,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 25 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img035,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, 25 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
