Entry,ContingentURN,Label,Leader Number,Text Reference
urn:cite:cycle:trojancatships.Tzetzes.1,urn:cite:cycle:trojancontingents.1,Trojans,1
urn:cite:cycle:trojancatships.Tzetzes.2,urn:cite:cycle:trojancontingents.2,Dardanians,2,
urn:cite:cycle:trojancatships.Tzetzes.3,urn:cite:cycle:trojancontingents.3,Zeleians,1,
??
urn:cite:cycle:trojancatships.Tzetzes.5,urn:cite:cycle:trojancontingents.9,Paeonians,1,
urn:cite:cycle:trojancatships.Tzetzes.4,urn:cite:cycle:trojancontingents.6,Pelasgi,4,
urn:cite:cycle:trojancatships.Tzetzes.2,urn:cite:cycle:trojancontingents.7,Thracians,1,
urn:cite:cycle:trojancatships.Tzetzes.3,urn:cite:cycle:trojancontingents.8,Cicones,1,

urn:cite:cycle:trojancatships.Tzetzes.5,urn:cite:cycle:trojancontingents.10,Paphlagonians,1,

urn:cite:cycle:trojancatships.Tzetzes.7,urn:cite:cycle:trojancontingents.4,Adrasteians,2,
urn:cite:cycle:trojancatships.Tzetzes.8,urn:cite:cycle:trojancontingents.5,Arisbeans,1,

urn:cite:cycle:trojancatships.Tzetzes.10,urn:cite:cycle:trojancontingents.12,Mysians,2,
urn:cite:cycle:trojancatships.Tzetzes.11,urn:cite:cycle:trojancontingents.11,Halizones,2,
urn:cite:cycle:trojancatships.Tzetzes.12,urn:cite:cycle:trojancontingents.13,Phrygians,2,
urn:cite:cycle:trojancatships.Tzetzes.13,urn:cite:cycle:trojancontingents.14,Maeonians,2,
urn:cite:cycle:trojancatships.Tzetzes.14,urn:cite:cycle:trojancontingents.15,Carians,2,
urn:cite:cycle:trojancatships.Tzetzes.15,urn:cite:cycle:trojancontingents.16,Lycians,2,
