Episode,Label,Epic
urn:cite:cycle:apollodorus.1,"Judgment of Paris",Cypria
urn:cite:cycle:apollodorus.2,"Paris arrives at Sparta, and persuades Helen to leave",Cypria
urn:cite:cycle:apollodorus.3,"Paris and Helen stop on the way to Troy",Cypria
urn:cite:cycle:apollodorus.4,"Menelaus calls on Agamemnon to invoke the oaths",Cypria
urn:cite:cycle:apollodorus.5,"The madness of Odysseus",Cypria
urn:cite:cycle:apollodorus.6,"Death of Palamedes",Cypria
urn:cite:cycle:apollodorus.7,"Visit to Cinyras and the Winegrowers",Cypria
urn:cite:cycle:apollodorus.9,"First gathering at Aulis, list of Greek forces",Cypria
urn:cite:cycle:apollodorus.10,"Land at and attack Mysia, troops are scattered by a storm",Cypria
urn:cite:cycle:apollodorus.11,"Second gathering at Aulis, Alleged sacrifice of Iphigenia",Cypria
urn:cite:cycle:apollodorus.12,"Greeks fight on Tenedos, Abandonment of Philoctetes on Lemnos",Cypria
urn:cite:cycle:apollodorus.13,"Greek embassy to Troy",Cypria
urn:cite:cycle:apollodorus.14,"Greeks land on the beach, first blood on both side",Cypria
urn:cite:cycle:apollodorus.15,"Achilles kills Troilus, and captures Lycaon",Cypria
urn:cite:cycle:apollodorus.16,"Greeks raid Aeneas' cattle and sack cities around Troy",Cypria
urn:cite:cycle:apollodorus.17,"Arrival of Trojan allies",Cypria
urn:cite:cycle:apollodorus.18,"Achilles withdraws from the war",Iliad 1
urn:cite:cycle:apollodorus.19,"Paris fights Menelaus",Iliad 3
urn:cite:cycle:apollodorus.20,"Pandarus breaks the truce",Iliad 4
urn:cite:cycle:apollodorus.21,"Diomedes wounds Aphrodite",Iliad 5
urn:cite:cycle:apollodorus.22,"Diomedes encounters Glaucus",Iliad 6
urn:cite:cycle:apollodorus.23,"Hector fights Ajax",Iliad 7
urn:cite:cycle:apollodorus.24,"Greeks build a wall and are chased behind it",Iliad 8
urn:cite:cycle:apollodorus.25,"Embassy to Achilles",Iliad 9
urn:cite:cycle:apollodorus.26,"Odysseus and Diomedes kill Dolon and Rhesus",Iliad 10
urn:cite:cycle:apollodorus.27,"The Greek leaders are wounded",Iliad 11
urn:cite:cycle:apollodorus.28,"Hector breaks through the wall",Iliad 12
urn:cite:cycle:apollodorus.29,"The ships are set ablaze",Iliad 15
urn:cite:cycle:apollodorus.30,"Patroclus fights and dies",Iliad 16
urn:cite:cycle:apollodorus.31,"Ajax recovers the body of Patroclus",Iliad 17
urn:cite:cycle:apollodorus.32,"Achilles puts aside his anger and dons his armor",Iliad 18/19
urn:cite:cycle:apollodorus.33,"Achilles fights and battles the Scamander",Iliad 20/21
urn:cite:cycle:apollodorus.34,"Achilles kills Hector",Iliad 22
urn:cite:cycle:apollodorus.35,"Funeral games of Patroclus",Iliad 23
urn:cite:cycle:apollodorus.36,"Priam ransoms Hector's body from Achilles",Iliad 24
urn:cite:cycle:apollodorus.37,"Death of Penthesilea, Achilles kills Thersites",Aethiopis
urn:cite:cycle:apollodorus.38,"Death of Antilochus and of Memnon",Aethiopis
urn:cite:cycle:apollodorus.39,"Death of Achilles, Ajax and Odysseus bear the body back",Aethiopis
urn:cite:cycle:apollodorus.40,"Fate of Achilles and funeral games",Aethiopis
urn:cite:cycle:apollodorus.41,"Contest for Achilles' armor, insanity of Ajax",Little Iliad
urn:cite:cycle:apollodorus.42,"Retrieval of Philoctetes and death of Paris",Little Iliad
urn:cite:cycle:apollodorus.43,"Helenus is captured",Little Iliad
urn:cite:cycle:apollodorus.44,"Neoptolemos is brought to Troy",Little Iliad
urn:cite:cycle:apollodorus.45,"Eurypylus arrives, fights, and dies",Little Iliad
urn:cite:cycle:apollodorus.46,"Capture of the Palladium",Little Iliad
urn:cite:cycle:apollodorus.47,"Trick of the Horse, Sinon, and Tenedos",Little Iliad
urn:cite:cycle:apollodorus.48,"Trojans debate the matter of the Horse",Iliupersis
urn:cite:cycle:apollodorus.49,"The Greeks exit the Horse and open the gates",Iliupersis
urn:cite:cycle:apollodorus.50,"The fate of prominent Trojans",Iliupersis
urn:cite:cycle:apollodorus.51,"Death of Astyanax and Polyxena, Allotment of Trojan captives",Iliupersis
urn:cite:cycle:apollodorus.52,"Locrian Ajax takes refuge in the temple of Athena",Iliupersis
urn:cite:cycle:apollodorus.53,"Departure of Menelaus, and Nostos of Nestor and Diomedes",Nostoi
urn:cite:cycle:apollodorus.54,"Nostos of Calchas' group, and his death",Nostoi
urn:cite:cycle:apollodorus.55,"Neoptolemos and Agamemnon part at Tenedos",Nostoi
urn:cite:cycle:apollodorus.56,"Death of Locrian Ajax",Nostoi
urn:cite:cycle:apollodorus.57,"Trick of Nauplius and the Capherian rocks, violent wives",Nostoi
urn:cite:cycle:apollodorus.58,"Nostos of Neoptolemos",Nostoi
urn:cite:cycle:apollodorus.59,"Fate of minor Greeks",Nostoi
urn:cite:cycle:apollodorus.60,"Nostos and death of Agamemnon and Cassandra",Nostoi
urn:cite:cycle:apollodorus.61,"Orestes and Pylades avenge Agamemnon, and its aftermath",Nostoi
urn:cite:cycle:apollodorus.62,"Nostos and fate of Menelaus",Nostoi
urn:cite:cycle:apollodorus.63,"Odysseus attacks the Cicones",Odyssey 9
urn:cite:cycle:apollodorus.64,"Odysseus arrives at the land of the Lotus-eaters",Odyssey 9
urn:cite:cycle:apollodorus.65,"Odysseus arrives at the island of the Cyclopes",Odyssey 9
urn:cite:cycle:apollodorus.66,"Odysseus arrives at Aeolia, his men open the bag, they return to Aeolia",Odyssey 10
urn:cite:cycle:apollodorus.67,"Odysseus arrives at the Laestrygones",Odyssey 10
urn:cite:cycle:apollodorus.68,"Odysseus arrives at the island of Circe, has Telegonus",Odyssey 10
urn:cite:cycle:apollodorus.69,"Odysseus visits Hades, returns to Circe",Odyssey 11
urn:cite:cycle:apollodorus.70,"Odysseus passes the island of the Sirens",Odyssey 12
urn:cite:cycle:apollodorus.71,"Odysseus passes the Wandering Rocks, and Scylla and Charybdis",Odyssey 12
urn:cite:cycle:apollodorus.72,"Odysseus arrives at Thrinacia and his men slaughter the cattle of Helios",Odyssey 12
